45,1.9,2.1,2.3,2.5,2.7,3,3.3
45.5,2,2.1,2.3,2.5,2.8,3.1,3.4
46,2,2.2,2.4,2.6,2.9,3.2,3.5
46.5,2.1,2.3,2.5,2.7,3,3.3,3.6
47,2.2,2.4,2.6,2.8,3.1,3.4,3.7
47.5,2.2,2.4,2.6,2.9,3.2,3.5,3.8
48,2.3,2.5,2.7,3,3.3,3.6,4
48.5,2.4,2.6,2.8,3.1,3.4,3.7,4.1
49,2.4,2.6,2.9,3.2,3.5,3.8,4.2
49.5,2.5,2.7,3,3.3,3.6,3.9,4.3
50,2.6,2.8,3.1,3.4,3.7,4,4.5
50.5,2.7,2.9,3.2,3.5,3.8,4.2,4.6
51,2.8,3,3.3,3.6,3.9,4.3,4.8
51.5,2.8,3.1,3.4,3.7,4,4.4,4.9
52,2.9,3.2,3.5,3.8,4.2,4.6,5.1
52.5,3,3.3,3.6,3.9,4.3,4.7,5.2
53,3.1,3.4,3.7,4,4.4,4.9,5.4
53.5,3.2,3.5,3.8,4.2,4.6,5,5.5
54,3.3,3.6,3.9,4.3,4.7,5.2,5.7
54.5,3.4,3.7,4,4.4,4.8,5.3,5.9
55,3.5,3.8,4.2,4.5,5,5.5,6.1
55.5,3.6,3.9,4.3,4.7,5.1,5.7,6.3
56,3.7,4,4.4,4.8,5.3,5.8,6.4
56.5,3.8,4.1,4.5,5,5.4,6,6.6
57,3.9,4.3,4.6,5.1,5.6,6.1,6.8
57.5,4,4.4,4.8,5.2,5.7,6.3,7
58,4.1,4.5,4.9,5.4,5.9,6.5,7.1
58.5,4.2,4.6,5,5.5,6,6.6,7.3
59,4.3,4.7,5.1,5.6,6.2,6.8,7.5
59.5,4.4,4.8,5.3,5.7,6.3,6.9,7.7
60,4.5,4.9,5.4,5.9,6.4,7.1,7.8
60.5,4.6,5,5.5,6,6.6,7.3,8
61,4.7,5.1,5.6,6.1,6.7,7.4,8.2
61.5,4.8,5.2,5.7,6.3,6.9,7.6,8.4
62,4.9,5.3,5.8,6.4,7,7.7,8.5
62.5,5,5.4,5.9,6.5,7.1,7.8,8.7
63,5.1,5.5,6,6.6,7.3,8,8.8
63.5,5.2,5.6,6.2,6.7,7.4,8.1,9
64,5.3,5.7,6.3,6.9,7.5,8.3,9.1
64.5,5.4,5.8,6.4,7,7.6,8.4,9.3
65,5.5,5.9,6.5,7.1,7.8,8.6,9.5
65.5,5.5,6,6.6,7.2,7.9,8.7,9.6
66,5.6,6.1,6.7,7.3,8,8.8,9.8
66.5,5.7,6.2,6.8,7.4,8.1,9,9.9
67,5.8,6.3,6.9,7.5,8.3,9.1,10
67.5,5.9,6.4,7,7.6,8.4,9.2,10.2
68,6,6.5,7.1,7.7,8.5,9.4,10.3
68.5,6.1,6.6,7.2,7.9,8.6,9.5,10.5
69,6.1,6.7,7.3,8,8.7,9.6,10.6
69.5,6.2,6.8,7.4,8.1,8.8,9.7,10.7
70,6.3,6.9,7.5,8.2,9,9.9,10.9
70.5,6.4,6.9,7.6,8.3,9.1,10,11
