45,1.9,2,2.2,2.4,2.7,3,3.3
45.5,1.9,2.1,2.3,2.5,2.8,3.1,3.4
46,2,2.2,2.4,2.6,2.9,3.1,3.5
46.5,2.1,2.3,2.5,2.7,3,3.2,3.6
47,2.1,2.3,2.5,2.8,3,3.3,3.7
47.5,2.2,2.4,2.6,2.9,3.1,3.4,3.8
48,2.3,2.5,2.7,2.9,3.2,3.6,3.9
48.5,2.3,2.6,2.8,3,3.3,3.7,4
49,2.4,2.6,2.9,3.1,3.4,3.8,4.2
49.5,2.5,2.7,3,3.2,3.5,3.9,4.3
50,2.6,2.8,3,3.3,3.6,4,4.4
50.5,2.7,2.9,3.1,3.4,3.8,4.1,4.5
51,2.7,3,3.2,3.5,3.9,4.2,4.7
51.5,2.8,3.1,3.3,3.6,4,4.4,4.8
52,2.9,3.2,3.5,3.8,4.1,4.5,5
52.5,3,3.3,3.6,3.9,4.2,4.6,5.1
53,3.1,3.4,3.7,4,4.4,4.8,5.3
53.5,3.2,3.5,3.8,4.1,4.5,4.9,5.4
54,3.3,3.6,3.9,4.3,4.7,5.1,5.6
54.5,3.4,3.7,4,4.4,4.8,5.3,5.8
55,3.6,3.8,4.2,4.5,5,5.4,6
55.5,3.7,4,4.3,4.7,5.1,5.6,6.1
56,3.8,4.1,4.4,4.8,5.3,5.8,6.3
56.5,3.9,4.2,4.6,5,5.4,5.9,6.5
57,4,4.3,4.7,5.1,5.6,6.1,6.7
57.5,4.1,4.5,4.9,5.3,5.7,6.3,6.9
58,4.3,4.6,5,5.4,5.9,6.4,7.1
58.5,4.4,4.7,5.1,5.6,6.1,6.6,7.2
59,4.5,4.8,5.3,5.7,6.2,6.8,7.4
59.5,4.6,5,5.4,5.9,6.4,7,7.6
60,4.7,5.1,5.5,6,6.5,7.1,7.8
60.5,4.8,5.2,5.6,6.1,6.7,7.3,8
61,4.9,5.3,5.8,6.3,6.8,7.4,8.1
61.5,5,5.4,5.9,6.4,7,7.6,8.3
62,5.1,5.6,6,6.5,7.1,7.7,8.5
62.5,5.2,5.7,6.1,6.7,7.2,7.9,8.6
63,5.3,5.8,6.2,6.8,7.4,8,8.8
63.5,5.4,5.9,6.4,6.9,7.5,8.2,8.9
64,5.5,6,6.5,7,7.6,8.3,9.1
64.5,5.6,6.1,6.6,7.1,7.8,8.5,9.3
65,5.7,6.2,6.7,7.3,7.9,8.6,9.4
65.5,5.8,6.3,6.8,7.4,8,8.7,9.6
66,5.9,6.4,6.9,7.5,8.2,8.9,9.7
66.5,6,6.5,7,7.6,8.3,9,9.9
67,6.1,6.6,7.1,7.7,8.4,9.2,10
67.5,6.2,6.7,7.2,7.9,8.5,9.3,10.2
68,6.3,6.8,7.3,8,8.7,9.4,10.3
68.5,6.4,6.9,7.5,8.1,8.8,9.6,10.5
69,6.5,7,7.6,8.2,8.9,9.7,10.6
69.5,6.6,7.1,7.7,8.3,9,9.8,10.8
70,6.6,7.2,7.8,8.4,9.2,10,10.9
70.5,6.7,7.3,7.9,8.5,9.3,10.1,11.1
71,6.8,7.4,8,8.6,9.4,10.2,11.2
71.5,6.9,7.5,8.1,8.8,9.5,10.4,11.3
72,7,7.6,8.2,8.9,9.6,10.5,11.5
72.5,7.1,7.6,8.3,9,9.8,10.6,11.6
73,7.2,7.7,8.4,9.1,9.9,10.8,11.8
73.5,7.2,7.8,8.5,9.2,10,10.9,11.9
74,7.3,7.9,8.6,9.3,10.1,11,12.1
74.5,7.4,8,8.7,9.4,10.2,11.2,12.2
75,7.5,8.1,8.8,9.5,10.3,11.3,12.3
75.5,7.6,8.2,8.8,9.6,10.4,11.4,12.5
76,7.6,8.3,8.9,9.7,10.6,11.5,12.6
76.5,7.7,8.3,9,9.8,10.7,11.6,12.7
77,7.8,8.4,9.1,9.9,10.8,11.7,12.8
77.5,7.9,8.5,9.2,10,10.9,11.9,13
78,7.9,8.6,9.3,10.1,11,12,13.1
78.5,8,8.7,9.4,10.2,11.1,12.1,13.2
79,8.1,8.7,9.5,10.3,11.2,12.2,13.3
79.5,8.2,8.8,9.5,10.4,11.3,12.3,13.4
80,8.2,8.9,9.6,10.4,11.4,12.4,13.6
80.5,8.3,9,9.7,10.5,11.5,12.5,13.7
81,8.4,9.1,9.8,10.6,11.6,12.6,13.8
81.5,8.5,9.1,9.9,10.7,11.7,12.7,13.9
82,8.5,9.2,10,10.8,11.8,12.8,14
82.5,8.6,9.3,10.1,10.9,11.9,13,14.2
83,8.7,9.4,10.2,11,12,13.1,14.3
83.5,8.8,9.5,10.3,11.2,12.1,13.2,14.4
84,8.9,9.6,10.4,11.3,12.2,13.3,14.6
84.5,9,9.7,10.5,11.4,12.4,13.5,14.7
85,9.1,9.8,10.6,11.5,12.5,13.6,14.9
85.5,9.2,9.9,10.7,11.6,12.6,13.7,15
86,9.3,10,10.8,11.7,12.8,13.9,15.2
86.5,9.4,10.1,11,11.9,12.9,14,15.3
87,9.5,10.2,11.1,12,13,14.2,15.5
87.5,9.6,10.4,11.2,12.1,13.2,14.3,15.6
